1 interviewerTlsg06:  well eh could you tell us first of eh where you were born please  DORM: 1.86, DORM-UIDO:1.31,
268 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
269 informantTlsg06a:  and this is how we are on the day they're not going to get paid they're asking for [unclear]  high prices  DORM: 2.07, DORM-UIDO:1.31,
270 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
271 informantTlsg06a:  [unclear]  wanting ever so much now again and as one go and another starts you see just like a vicious circle going round  DORM: 2.58, DORM-UIDO:2.01,
272 interviewerTlsg06:  yes what do you think about the eh you know the present government like how do you think they're running things  DORM: 1.42, DORM-UIDO:1.03,
273 informantTlsg06a:  well up to now he's not doing much  DORM: 1.33, DORM-UIDO:0.87,
274 interviewerTlsg06:  yes [pause]  but with the prices were  DORM: 2.92, DORM-UIDO:1.70,
275 informantTlsg06a:  oh prices are terrible eeh dear me it's te  well i'm an old age pensioner and it takes me all my time to live  DORM: 3.28, DORM-UIDO:2.07,
276 interviewerTlsg06:  aye yes i know [pause]  ehm do you eh do you usually vote in every election you know say local government elections  DORM: 2.85, DORM-UIDO:2.06,
277 informantTlsg06a:  oh yes i vote oh yes i usually vote  DORM: 1.50, DORM-UIDO:0.43,
278 interviewerTlsg06:  yes [pause]  ehm do you ever think that eh you know a lot of people say that they vote in a particular way because of eh you know because they're working class people let's say or because they're not working class people you know eh do you think that's a reasonable way to vote or or or do you make your decision  [unclear]   DORM: 2.27, DORM-UIDO:1.52,
279 informantTlsg06a:  well oh no there's two or three round here they're just working class people and they always vote tory  DORM: 1.98, DORM-UIDO:1.43,
280 interviewerTlsg06:  is that right  DORM: 0.91, DORM-UIDO:0.88,
281 informantTlsg06a:  yes i used to be very strong labour though  DORM: 2.28, DORM-UIDO:1.52,
282 interviewerTlsg06:  yeah [pause]  eh if we could ehm just go on to talk for a bit about the thing we are most interested in like that's the way you talk and so on and and what you think about it ehm firstly do you think that you ever change the way you speak according to you know the person you're talking to or any other sort of circumstances  DORM: 2.74, DORM-UIDO:1.67,
283 informantTlsg06a:  well i don't know i th  y  you do you do eh talk more polite like you get out of that old fashioned way of talking  DORM: 2.51, DORM-UIDO:1.58,
284 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
285 informantTlsg06a:  you know you say haway and all that but you get out of it i think when you get older  DORM: 8.04, DORM-UIDO:2.57,
286 interviewerTlsg06:  oh i see you mean just in yes i  it's not it's not a matter of sort of certain people that you would talk more politely to but y  you just ehm  DORM: 2.04, DORM-UIDO:0.75,
287 informantTlsg06a:  there's some never gets out of the old fashioned way of talking  DORM: 2.63, DORM-UIDO:1.86,
288 interviewerTlsg06:  mmhm  DORM: 0.00, DORM-UIDO:0.00,
289 informantTlsg06a:  they still talk the old fashioned way  DORM: 2.49, DORM-UIDO:1.10,
290 interviewerTlsg06:  mm do you think you do you think you have changed quite a lot like  in your in that in that way  DORM: 1.68, DORM-UIDO:1.00,
291 informantTlsg06a:  oh yes yes i've changed a lot in that uhhuh  DORM: 2.62, DORM-UIDO:0.72,
292 interviewerTlsg06:  being more sort of do you think you were more geordie you know when you were younger  DORM: 2.17, DORM-UIDO:0.87,
293 informantTlsg06a:  oh yes when i was young  DORM: 1.79, DORM-UIDO:1.31,
294 interviewerTlsg06:  aye yeah why  w  why do you think it is that you've changed you know  DORM: 2.23, DORM-UIDO:1.39,
295 informantTlsg06a:  well i don't know it's just i've just changed and i was unaware i changed  DORM: 1.70, DORM-UIDO:0.60,
296 interviewerTlsg06:  aye yes  DORM: 0.00, DORM-UIDO:0.00,
297 informantTlsg06a:  i just you know just  DORM: 0.64, DORM-UIDO:0.36,
298 interviewerTlsg06:  yeah i think it it's definitely true  i think you know  DORM: 1.63, DORM-UIDO:1.01,
299 informantTlsg06a:  it's eh you know getting into different people you get to know different people and they're a little bit  DORM: 1.70, DORM-UIDO:1.23,
300 interviewerTlsg06:  aye uhhuh yeah  DORM: 1.20, DORM-UIDO:0.00,
301 informantTlsg06a:  you just get like them and there you go on  DORM: 0.67, DORM-UIDO:0.25,
302 interviewerTlsg06:  yes eh [unclear]  ehm [pause]  but you know say now r  right at the moment do you think that eh do you think you always talk the same in all situations or do you think do you think you talk differently to different people  DORM: 2.93, DORM-UIDO:2.02,
303 informantTlsg06a:  well sometimes when you're gossip and you forget yourself and you just [unclear]  talk tyneside  DORM: 3.02, DORM-UIDO:1.92,
304 interviewerTlsg06:  aye so how would you say you're talking now you know what sort of voice do you think you're talking in now  DORM: 1.35, DORM-UIDO:0.66,
305 informantTlsg06a:  well i don't think i'm talking very much i'm doing all right i think  DORM: 1.25, DORM-UIDO:0.76,
306 interviewerTlsg06:   is this just a s   yeah is this just a sort of normal voice  like for you do you think  DORM: 1.68, DORM-UIDO:1.00,
307 informantTlsg06a:  yes aye just the way i talk always  DORM: 2.76, DORM-UIDO:1.66,
308 interviewerTlsg06:  okay eh do you eh do you like to hear people talking in sort of local accents you know do you like tyneside accents  DORM: 3.08, DORM-UIDO:2.01,
309 informantTlsg06a:  oh yes yes when we're gossiping we have a bit fun and we're forgetting that we're talking broad tyneside  DORM: 2.91, DORM-UIDO:1.56,
310 interviewerTlsg06:  uhhuh aye eh [pause]  you know eh if you hear say s  a young child talking in a very localised sort of eh voice you know if he said something like a've just fallen doon and hit me heed eh do you think you would correct him about it you know i mean if he was sort of in your charge like  DORM: 3.12, DORM-UIDO:2.02,
311 informantTlsg06a:  well i would say you shouldn't talk about that you know but eh often get my my great grandbairns here  DORM: 7.93, DORM-UIDO:2.71,
312 interviewerTlsg06:  aye  DORM: 0.00, DORM-UIDO:0.00,
313 informantTlsg06a:  and when they talk i try to talk polite because they they talk polite and all  DORM: 2.37, DORM-UIDO:1.44,
314 interviewerTlsg06:  oh i see yes  DORM: 1.10, DORM-UIDO:0.31,
315 informantTlsg06a:  you have to keep them right you see  DORM: 1.24, DORM-UIDO:0.84,
316 interviewerTlsg06:  mmhm yes they never talk very geordie do they  DORM: 3.14, DORM-UIDO:0.81,
317 informantTlsg06a:  no  DORM: 0.00, DORM-UIDO:0.00,
318 interviewerTlsg06:  no mm ehm do you eh do you like you know other accents of england you know like say cockney or liverpool accents do you like to hear people talking them  DORM: 2.98, DORM-UIDO:1.59,
319 informantTlsg06a:  well i don't like the cockney talk  DORM: 3.22, DORM-UIDO:1.46,
320 interviewerTlsg06:  do you not  DORM: 0.28, DORM-UIDO:0.05,
321 informantTlsg06a:  na i like to hear the liverpudlians when they're on the wireless when they're talking from liverpool  DORM: 2.80, DORM-UIDO:1.24,
322 interviewerTlsg06:  mmhm yeah you know ehm [pause]  eh you know the way the newsreaders talk  on the television like when they're reading out the news  DORM: 3.95, DORM-UIDO:2.40,
323 informantTlsg06a:  yes uhhuh  DORM: 0.00, DORM-UIDO:0.00,
324 interviewerTlsg06:  eh do you sort of approve of that way of talking  DORM: 1.74, DORM-UIDO:0.84,
325 informantTlsg06a:  oh yes yes yes aye because you can understand what they're saying  DORM: 2.06, DORM-UIDO:1.31,
326 interviewerTlsg06:  yes do you eh do you know anybody yourself that talks like that  DORM: 1.96, DORM-UIDO:1.18,
327 informantTlsg06a:  well there is one or two around the doors you just get talking to lot of people i meet that go to church and one thing and another and they stop us and they'll ask us how i am well they well they're quite nice when they're talking to us  DORM: 1.22, DORM-UIDO:0.97,
328 interviewerTlsg06:  aye yes they talk fairly  like that  DORM: 2.25, DORM-UIDO:1.33,
329 informantTlsg06a:  yes oh yes  DORM: 0.00, DORM-UIDO:0.00,
330 interviewerTlsg06:  do you think ehm do you think it would be a good idea if everybody talked like that  DORM: 2.85, DORM-UIDO:1.45,
331 informantTlsg06a:  well i think it would be better [unclear]   DORM: 1.97, DORM-UIDO:0.87,
332 interviewerTlsg06:  do you  DORM: 0.00, DORM-UIDO:0.00,
333 informantTlsg06a:  yes if everybody was talking nice  DORM: 0.87, DORM-UIDO:0.00,
334 interviewerTlsg06:  yeah y  you don't think you would miss the sort of variety  of the different accents  DORM: 2.20, DORM-UIDO:1.60,
335 informantTlsg06a:  no i don't no  DORM: 0.33, DORM-UIDO:0.00,
336 interviewerTlsg06:  what eh what sort of accent would you say that i've got from listening to us you know [pause]  would you say it was li  like yours or different  DORM: 1.95, DORM-UIDO:1.06,
337 informantTlsg06a:  well i think it's all the same  DORM: 0.73, DORM-UIDO:0.22,
338 interviewerTlsg06:  aye more or less the same as yours  like  DORM: 1.74, DORM-UIDO:0.70,
339 informantTlsg06a:  as yours yes  DORM: 1.07, DORM-UIDO:0.48,
340 interviewerTlsg06:  now ehm i'm just going to read out eh this list of words you see that i've got here that are all fairly local sort of words you know and i would just like to know eh firstly if you eh if you're familiar with them and secondly if you actually use it yourself you know eh bairn little bairn  DORM: 2.83, DORM-UIDO:1.46,
341 informantTlsg06a:  aye i say that yes i say that aye  DORM: 1.34, DORM-UIDO:0.00,
342 interviewerTlsg06:  [unclear]  eh bait  DORM: 0.19, DORM-UIDO:0.00,
343 informantTlsg06a:  mmhm  DORM: 0.00, DORM-UIDO:0.00,
344 interviewerTlsg06:  mmhm eh bonny  DORM: 0.89, DORM-UIDO:0.00,
345 informantTlsg06a:  yes i've used that  DORM: 0.85, DORM-UIDO:0.42,
346 interviewerTlsg06:  yes eh bray  DORM: 1.88, DORM-UIDO:0.95,
347 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
348 interviewerTlsg06:  yes eh bullets  DORM: 1.25, DORM-UIDO:0.95,
349 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
350 interviewerTlsg06:   aye eh clamming  DORM: 1.96, DORM-UIDO:1.61,
351 informantTlsg06c:  aye i'm clamming now   DORM: 3.83, DORM-UIDO:1.34,
352 informantTlsg06a:   yes uhhuh  DORM: 0.00, DORM-UIDO:0.00,
353 interviewerTlsg06:  do you say that  DORM: 0.36, DORM-UIDO:0.00,
354 informantTlsg06a:  yes uhhuh  DORM: 0.00, DORM-UIDO:0.00,
355 interviewerTlsg06:  eh boody  DORM: 0.00, DORM-UIDO:0.00,
356 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
357 interviewerTlsg06:  yes ehm [pause]  coin coin a corner  DORM: 3.43, DORM-UIDO:1.55,
358 informantTlsg06a:  uhhuh yes uhhuh coins  DORM: 0.99, DORM-UIDO:0.00,
359 interviewerTlsg06:  eh cree  DORM: 0.00, DORM-UIDO:0.00,
360 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
361 interviewerTlsg06:  yes eh fettle  DORM: 3.01, DORM-UIDO:2.07,
362 informantTlsg06a:  oh aye say bad fettle  DORM: 2.38, DORM-UIDO:0.50,
363 interviewerTlsg06:  aye what about to fettle something do you use it for that as well  DORM: 3.15, DORM-UIDO:1.18,
364 informantTlsg06a:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
365 interviewerTlsg06:  to fettle this yeah ehm gully  DORM: 3.62, DORM-UIDO:2.26,
366 informantTlsg06a:  oh aye  gully  DORM: 1.96, DORM-UIDO:1.28,
367 interviewerTlsg06:  do you do you call that do you use that word now  DORM: 0.97, DORM-UIDO:0.41,
368 informantTlsg06a:  oh yes a big knife a gully  DORM: 1.87, DORM-UIDO:0.36,
369 interviewerTlsg06:  yes yes eh howk  DORM: 11.82, DORM-UIDO:1.36,
370 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
371 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
372 interviewerTlsg06:  yes eh lowe do you know the word lowe  DORM: 3.68, DORM-UIDO:2.69,
373 informantTlsg06a:  no  DORM: 0.00, DORM-UIDO:0.00,
374 interviewerTlsg06:  no for a a light or a flame  DORM: 1.91, DORM-UIDO:0.60,
375 informantTlsg06a:  no  DORM: 0.00, DORM-UIDO:0.00,
376 interviewerTlsg06:  no eh mense be more to your mense to get some work done  DORM: 4.29, DORM-UIDO:1.97,
377 informantTlsg06a:  oh i've heard that one  DORM: 1.17, DORM-UIDO:0.42,
378 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
379 interviewerTlsg06:  yes eh parky  DORM: 3.21, DORM-UIDO:2.26,
380 informantTlsg06a:  oh yes  DORM: 0.00, DORM-UIDO:0.00,
381 interviewerTlsg06:  about your food  DORM: 0.80, DORM-UIDO:0.71,
382 informantTlsg06a:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
383 interviewerTlsg06:  ehm varnigh  DORM: 0.00, DORM-UIDO:0.00,
384 informantTlsg06a:  oh yes   DORM: 0.00, DORM-UIDO:0.00,
385 interviewerTlsg06:  aye you use it  DORM: 1.47, DORM-UIDO:0.00,
386 informantTlsg06a:  oh yes uhhuh  DORM: 3.32, DORM-UIDO:3.31,
387 interviewerTlsg06:  eh knooled  DORM: 0.00, DORM-UIDO:0.00,
388 informantTlsg06a:  oh aye  getting knooled  DORM: 10.12, DORM-UIDO:0.00,
389 interviewerTlsg06:   [unclear]  is knooled [pause]  eh now eh more or less on the same lines like i'm going read out eh a list of sentences for each one i'd just like to know eh whether it sounds like a normal sort of sentence to you you know eh like like whether it sounds like something you might say if the circumstances came up you know what i mean  DORM: 4.84, DORM-UIDO:2.14,
390 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
391 interviewerTlsg06:  ehm eh were you wakened last night when i came in  DORM: 3.80, DORM-UIDO:1.80,
392 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
393 interviewerTlsg06:  were you wakened yes yes eh i was still a bed when you called this morning  DORM: 2.92, DORM-UIDO:1.55,
394 informantTlsg06a:  yes i've heard of  that i've talked about that  DORM: 1.91, DORM-UIDO:0.84,
395 interviewerTlsg06:  aye yeah you say that yeah [pause]  eh he never gave us any  DORM: 2.46, DORM-UIDO:1.77,
396 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
397 interviewerTlsg06:  yes eh do you not go there very often  DORM: 2.04, DORM-UIDO:1.34,
398 informantTlsg06a:  no oh i've heard them say [unclear]  i've heard that oh yes i've heard  DORM: 1.73, DORM-UIDO:1.15,
399 interviewerTlsg06:  yes eh they're useless them  DORM: 1.92, DORM-UIDO:1.00,
400 informantTlsg06a:  aye i have i've heard that many times  DORM: 1.73, DORM-UIDO:0.67,
401 interviewerTlsg06:  yes eh me and john went to the races on saturday  DORM: 2.52, DORM-UIDO:1.78,
402 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
403 interviewerTlsg06:  mmhm eh i might could manage it  DORM: 3.61, DORM-UIDO:1.83,
404 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
405 interviewerTlsg06:  yes eh he wouldn't could have worked even if you'd have asked him  DORM: 1.66, DORM-UIDO:0.97,
406 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
407 interviewerTlsg06:  yeah eh it's ower big to get through there  DORM: 3.59, DORM-UIDO:1.80,
408 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
409 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
410 interviewerTlsg06:  yes eh you know my cousin that her husband died  DORM: 1.92, DORM-UIDO:1.45,
411 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
412 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
413 informantTlsg06a:  [unclear]   DORM: 0.00, DORM-UIDO:0.00,
414 interviewerTlsg06:  eh with the wife being ill i had to stay in and look after her  DORM: 1.98, DORM-UIDO:1.43,
415 informantTlsg06a:  oh aye yes uhhuh  DORM: 1.92, DORM-UIDO:0.00,
416 interviewerTlsg06:  yes ehm i'm going to stay with the son for the holidays  DORM: 3.11, DORM-UIDO:1.85,
417 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
418 interviewerTlsg06:  yes eh they go to the pictures of a sunday  DORM: 2.66, DORM-UIDO:1.91,
419 informantTlsg06a:  oh aye  DORM: 0.00, DORM-UIDO:0.00,
420 interviewerTlsg06:  yes eh here she had left her pram standing outside the shop  DORM: 2.75, DORM-UIDO:1.56,
421 informantTlsg06a:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
422 interviewerTlsg06:  uhhuh aye eh [pause]  eh i think we're going to be soon for the picture  DORM: 4.30, DORM-UIDO:3.02,
423 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
424 interviewerTlsg06:  yes yes yes ehm [pause]  would you mind stop talking  DORM: 3.35, DORM-UIDO:1.91,
425 informantTlsg06a:  oh aye  yes i've said that many a time  DORM: 2.63, DORM-UIDO:1.75,
426 interviewerTlsg06:  do you want a cup of tea making  DORM: 1.67, DORM-UIDO:1.01,
427 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
428 interviewerTlsg06:  yes eh you know him that used to work on the railways  DORM: 2.02, DORM-UIDO:1.05,
429 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
430 interviewerTlsg06:  yes eh he happened a nasty accident  DORM: 2.03, DORM-UIDO:0.87,
431 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
432 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
433 interviewerTlsg06:  yes eh i'll put the kettle on for to make some tea  DORM: 2.38, DORM-UIDO:1.48,
434 informantTlsg06a:  aye yes   DORM: 0.00, DORM-UIDO:0.00,
435 interviewerTlsg06:  what about i wanted for to talk to you about it  DORM: 1.17, DORM-UIDO:0.45,
436 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
437 informantTlsg06a:   DORM: nan, DORM-UIDO:nan,
438 interviewerTlsg06:  do you think you would say that  DORM: 0.65, DORM-UIDO:0.25,
439 informantTlsg06a:  oh yes uhhuh  DORM: 3.32, DORM-UIDO:3.31,
440 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
441 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
442 interviewerTlsg06:  eh when did it happen you  DORM: 1.20, DORM-UIDO:0.25,
443 informantTlsg06a:  uhhuh  DORM: 0.00, DORM-UIDO:0.00,
444 interviewerTlsg06:  yes ehm i've got money belonging him  DORM: 3.12, DORM-UIDO:1.49,
445 informantTlsg06a:  yes i've heard that and all  DORM: 1.53, DORM-UIDO:0.68,
446 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
447 interviewerTlsg06:  yes yes yes eh could you mind your head so as i can see out the back  DORM: 2.06, DORM-UIDO:1.44,
448 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
449 informantTlsg06a:   DORM: nan, DORM-UIDO:nan,
450 interviewerTlsg06:   can i take a laugh to mean yes  DORM: 1.37, DORM-UIDO:0.70,
451 informantTlsg06a:   yes  [unclear]    DORM: 0.00, DORM-UIDO:0.00,
452 informantTlsg06c:  [unclear]    DORM: 0.00, DORM-UIDO:0.00,
453 interviewerTlsg06:  eh i'm going to get some wool for our pamela a jumper  DORM: 2.12, DORM-UIDO:0.98,
454 informantTlsg06a:  mmhm yes  DORM: 0.00, DORM-UIDO:0.00,
455 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
456 interviewerTlsg06:  eh it's all right for you you're used with it  DORM: 1.37, DORM-UIDO:0.23,
457 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
458 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
459 interviewerTlsg06:  eh we've been waiting of a bus  DORM: 2.00, DORM-UIDO:1.10,
460 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
461 interviewerTlsg06:  yeah eh i think they're going to give him the job permanent  DORM: 2.11, DORM-UIDO:1.56,
462 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
463 interviewerTlsg06:  yes eh i don't bother much about the television and that  DORM: 2.34, DORM-UIDO:1.54,
464 informantTlsg06a:  yes i'd say that  DORM: 0.74, DORM-UIDO:0.18,
465 interviewerTlsg06:  ehm there was all these bottles of beer what we had brought  DORM: 2.25, DORM-UIDO:0.60,
466 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
467 informantTlsg06a:   yes aye oh it's happened  DORM: 3.00, DORM-UIDO:1.79,
468 interviewerTlsg06:  yes  yes eh many people were there there  DORM: 1.86, DORM-UIDO:1.07,
469 informantTlsg06a:  oh aye   DORM: 0.00, DORM-UIDO:0.00,
470 interviewerTlsg06:  eh where did you get it at  DORM: 1.85, DORM-UIDO:0.86,
471 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
472 interviewerTlsg06:  yes eh never mind i'll manage but  DORM: 1.97, DORM-UIDO:1.32,
473 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
474 interviewerTlsg06:  yeah eh never the wonder i couldn't get it to work  it's not plugged in  DORM: 2.40, DORM-UIDO:1.32,
475 informantTlsg06a:  that's right  yes  DORM: 1.79, DORM-UIDO:1.41,
476 interviewerTlsg06:  never the wonder aye eh me and george is going to the town today  DORM: 3.17, DORM-UIDO:2.53,
477 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
478 interviewerTlsg06:  yes eh jack didn't think much to the race  DORM: 2.92, DORM-UIDO:2.16,
479 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
480 interviewerTlsg06:  yeah  DORM: 0.00, DORM-UIDO:0.00,
481 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
482 interviewerTlsg06:  ehm [pause]  it's far too long this  DORM: 3.76, DORM-UIDO:2.03,
483 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
484 interviewerTlsg06:  yeah eh how's your wife and family then  DORM: 2.10, DORM-UIDO:1.42,
485 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
486 interviewerTlsg06:  aye eh joe can't come tomorrow being as he's working late  DORM: 2.73, DORM-UIDO:2.16,
487 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
488 informantTlsg06a:  yes   DORM: 0.00, DORM-UIDO:0.00,
489 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
490 informantTlsg06a:   DORM: nan, DORM-UIDO:nan,
491 interviewerTlsg06:  yes you would still say that though would you  DORM: 0.92, DORM-UIDO:0.49,
492 informantTlsg06a:  mmhm well i've got a son called joe   DORM: 3.16, DORM-UIDO:1.36,
493 interviewerTlsg06:  yes  DORM: 0.00, DORM-UIDO:0.00,
494 informantTlsg06b:  you do say that joe's not coming the day   DORM: 2.44, DORM-UIDO:0.78,
495 interviewerTlsg06:  you'd say being as he's working late  DORM: 1.50, DORM-UIDO:1.06,
496 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
497 interviewerTlsg06:  eh what is it he does for a living  DORM: 1.77, DORM-UIDO:0.71,
498 informantTlsg06a:  well he's a bricklayer  DORM: 2.89, DORM-UIDO:0.14,
499 informantTlsg06c:   DORM: nan, DORM-UIDO:nan,
500 informantTlsg06a:   oh   DORM: 0.00, DORM-UIDO:0.00,
501 interviewerTlsg06:   that was another sentence i was eh   DORM: 2.19, DORM-UIDO:0.83,
502 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
503 interviewerTlsg06:  that's okay yes eh just light the fire on will you  DORM: 2.14, DORM-UIDO:1.34,
504 informantTlsg06a:  oh yes  DORM: 0.00, DORM-UIDO:0.00,
505 interviewerTlsg06:  yes light it on mmhm ehm i'll clout yous both in a minute  DORM: 5.11, DORM-UIDO:3.41,
506 informantTlsg06a:  oh aye  [unclear]   DORM: 1.27, DORM-UIDO:1.26,
507 interviewerTlsg06:  eh how much have they offered we  DORM: 1.49, DORM-UIDO:0.40,
508 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
509 interviewerTlsg06:  yes eh eh pass us one of those spanners  DORM: 3.48, DORM-UIDO:1.89,
510 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
511 interviewerTlsg06:  yeah eh i've broke a plate  DORM: 1.99, DORM-UIDO:0.95,
512 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
513 interviewerTlsg06:  yeah ehm i come this morning but you weren't in  DORM: 3.11, DORM-UIDO:1.40,
514 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
515 interviewerTlsg06:  eh he done it all right  DORM: 1.29, DORM-UIDO:0.32,
516 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
517 interviewerTlsg06:  eh i had forgetten to buy the onions  DORM: 3.55, DORM-UIDO:1.64,
518 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
519 interviewerTlsg06:  yes eh he give us a pound for doing it  DORM: 1.62, DORM-UIDO:0.84,
520 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
521 interviewerTlsg06:  yes eh we had went to the coast for the day  DORM: 2.60, DORM-UIDO:1.96,
522 informantTlsg06a:  oh aye yes  DORM: 0.02, DORM-UIDO:0.00,
523 interviewerTlsg06:  yeah eh i seen albert on tuesday  DORM: 1.70, DORM-UIDO:0.60,
524 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
525 interviewerTlsg06:  eh i'm not going to stand being tret like that  DORM: 3.43, DORM-UIDO:1.55,
526 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
527 interviewerTlsg06:  yes eh that's what happens when you be naughty  DORM: 2.43, DORM-UIDO:1.27,
528 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
529 interviewerTlsg06:  mm eh i'll probably see you a saturday  DORM: 2.54, DORM-UIDO:1.84,
530 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
531 interviewerTlsg06:  aye eh i doubt he'll have to stay in hospital for a long time  DORM: 2.33, DORM-UIDO:1.49,
532 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
533 interviewerTlsg06:  yes eh you've letten him get away  DORM: 3.50, DORM-UIDO:1.36,
534 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
535 interviewerTlsg06:  aye eh my mother's keep coming in to see us  DORM: 3.02, DORM-UIDO:2.28,
536 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
537 interviewerTlsg06:  yes eh we'll sharp get this done  DORM: 1.92, DORM-UIDO:1.15,
538 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
539 interviewerTlsg06:  aye [pause]  he's as tyneside as what i am  DORM: 3.57, DORM-UIDO:1.64,
540 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
541 interviewerTlsg06:  yes eh you used to sweep the floor and us used to wash the dishes  DORM: 1.52, DORM-UIDO:0.83,
542 informantTlsg06a:  yes  DORM: 0.00, DORM-UIDO:0.00,
543 interviewerTlsg06:  yes good  DORM: 0.00, DORM-UIDO: 0.00
